year,week,NumSources
2011,11,5770
2011,12,17521
2011,13,12853
2011,14,9090
2011,15,12861
2011,16,29851
2011,17,41436
2011,18,20336
2011,19,11844
2011,20,18100
2011,21,9807
2011,22,15991
2011,23,32787
2011,24,21722
2011,25,19850
2011,26,10543
2011,27,16766
2011,28,19223
2011,29,11057
2011,30,16630
2011,31,42633
2011,32,38049
2011,33,31851
2011,34,19037
2011,35,19196
2011,36,12302
2011,37,10153
2011,38,8789
2011,39,7814
2011,40,13845
2011,41,13640
2011,42,12059
2011,43,12155
2011,44,12909
2011,45,15488
2011,46,32315
2011,47,17636
2011,48,16344
2011,49,10318
2011,50,12206
2011,51,16855
2011,52,24203
2012,1,16091
2012,2,16957
2012,3,11887
2012,4,34207
2012,5,47079
2012,6,63600
2012,7,48169
2012,8,50103
2012,9,50833
2012,10,45464
2012,11,44185
2012,12,34645
2012,13,32150
2012,14,28204
2012,15,36065
2012,16,23215
2012,17,26556
2012,18,22071
2012,19,20932
2012,20,23495
2012,21,36724
2012,22,55983
2012,23,30633
2012,24,26255
2012,25,36068
2012,26,31910
2012,27,28738
2012,28,25200
2012,29,57077
2012,30,46639
2012,31,47195
2012,32,41165
2012,33,32464
2012,34,35363
2012,35,33178
2012,36,25602
2012,37,15964
2012,38,24682
2012,39,25152
2012,40,34758
2012,41,29139
2012,42,27026
2012,43,28836
2012,44,21725
2012,45,28593
2012,46,17816
2012,47,11236
2012,48,20839
2012,49,23904
2012,50,22240
2012,51,19976
2012,52,22666
2013,1,20839
2013,2,15067
2013,3,17677
2013,4,14235
2013,5,22211
2013,6,14598
2013,7,11807
2013,8,14466
2013,9,19496
2013,10,19942
2013,11,15894
2013,12,25912
2013,13,13560
2013,14,3719
2013,15,4749
2013,16,4474
2013,17,5803
2013,18,7764
2013,19,7390
2013,20,6188
2013,21,7148
2013,22,8442
2013,23,8133
2013,24,18377
2013,25,15926
2013,26,10129
2013,27,7379
2013,28,13246
2013,29,16519
2013,30,12098
2013,31,12561
2013,32,14748
2013,33,11233
2013,34,34196
2013,35,80243
2013,36,77966
2013,37,61339
2013,38,37372
2013,39,32315
2013,40,16212
2013,41,20577
2013,42,23521
2013,43,19664
2013,44,16411
2013,45,13084
2013,46,17934
2013,47,18987
2013,48,12900
2013,49,10077
2013,50,16191
2013,51,21433
2013,52,14562
2014,1,17355
2014,2,20822
2014,3,13192
2014,4,6004
2014,5,17332
2014,6,17246
2014,7,19355
2014,8,15904
2014,9,13789
2014,10,13334
2014,11,15172
2014,12,23275
2014,13,19265
2014,14,13119
2014,15,14316
2014,16,15301
2014,17,15113
2014,18,13054
2014,19,9632
2014,20,12770
2014,21,12379
2014,22,13664
2014,23,11318
2014,24,12879
2014,25,19662
2014,26,20287
2014,27,12517
2014,28,9638
2014,29,10410
2014,30,10294
2014,31,11966
2014,32,15263
2014,33,19314
2014,34,34411
2014,35,42084
2014,36,24397
2014,37,35949
2014,38,34215
2014,39,64894
