,year,week,Chemical and toxic gases,Detention - Execution,Detention - Torture,Detention - Torture - Execution,Explosion,Field Execution,Kidnapping - Execution,Kidnapping - Torture,Kidnapping - Torture - Execution,Other,Shelling,Shooting,Siege,Un-allowed to seek Medical help,Unknown,Warplane shelling
0,2011,11,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0
1,2011,12,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0
2,2011,13,0,0,1,1,0,1,0,0,1,1,0,27,0,0,0,0
3,2011,14,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0
4,2011,15,0,0,3,0,0,1,0,0,0,0,0,35,0,0,0,0
5,2011,16,0,1,0,0,1,2,0,0,0,1,0,225,0,0,0,0
6,2011,17,0,0,16,0,0,7,0,0,0,0,10,280,0,2,0,0
7,2011,18,0,0,0,0,0,5,0,0,2,0,0,98,0,0,0,0
8,2011,19,0,0,2,0,0,9,0,0,0,1,0,56,0,0,0,0
9,2011,20,0,4,16,1,0,18,0,0,0,3,2,147,0,0,0,0
10,2011,21,0,0,4,2,0,6,0,0,0,0,0,39,0,0,0,0
11,2011,22,0,0,3,3,0,4,0,0,2,0,8,233,0,0,0,0
12,2011,23,0,0,2,0,0,3,0,0,0,1,0,107,0,0,0,0
13,2011,24,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0
14,2011,25,0,0,1,0,0,1,0,0,0,1,1,33,0,0,0,0
15,2011,26,0,0,3,0,1,0,0,0,0,2,0,43,0,0,0,0
16,2011,27,0,0,4,0,0,4,0,0,1,0,0,41,0,0,0,0
17,2011,28,0,0,2,0,0,4,0,0,0,1,0,62,0,0,0,0
18,2011,29,0,0,7,2,0,0,0,0,0,1,1,67,0,0,0,0
19,2011,30,0,1,1,0,0,6,0,1,1,4,2,296,0,0,0,0
20,2011,31,0,1,5,2,0,7,0,0,1,3,15,196,0,4,0,0
21,2011,32,0,1,18,0,2,11,0,0,0,0,5,160,0,0,0,0
22,2011,33,0,0,8,0,0,4,8,0,0,0,2,124,0,0,0,0
23,2011,34,0,1,8,1,0,5,2,0,0,2,2,52,0,0,0,0
24,2011,35,0,3,11,0,0,5,0,0,0,2,0,142,0,0,0,0
25,2011,36,0,2,9,0,0,9,1,0,1,1,2,86,0,0,0,0
26,2011,37,0,4,11,6,0,0,2,0,1,3,2,186,0,0,0,0
27,2011,38,0,1,7,3,0,2,0,0,0,0,4,76,0,0,0,0
28,2011,39,0,1,10,0,1,3,0,2,0,0,3,101,0,0,0,0
29,2011,40,0,2,12,1,0,2,0,1,0,0,2,97,0,0,0,0
30,2011,41,0,0,1,0,0,0,0,0,0,0,1,61,0,0,0,0
31,2011,42,0,2,7,0,0,0,1,0,0,1,3,143,0,0,0,0
32,2011,43,0,0,9,0,0,7,0,0,0,2,8,107,0,0,0,0
33,2011,44,0,1,1,0,0,19,8,1,5,0,2,153,0,0,0,0
34,2011,45,0,0,7,3,3,9,3,2,0,1,3,134,0,1,0,0
35,2011,46,0,0,16,4,1,16,1,0,2,0,9,204,0,0,0,0
36,2011,47,0,3,12,2,2,13,0,0,0,0,6,207,0,0,0,0
37,2011,48,0,1,8,2,3,7,4,0,1,0,11,225,0,0,0,0
38,2011,49,0,1,22,0,0,17,6,0,20,0,9,225,0,4,0,0
39,2011,50,0,1,15,0,0,6,3,0,1,0,16,235,0,3,0,0
40,2011,51,0,4,24,20,23,13,4,2,0,4,59,297,0,0,0,0
41,2011,52,0,5,8,4,2,4,1,0,2,0,31,239,0,6,0,0
42,2012,1,0,1,25,6,9,14,5,0,1,4,49,208,0,1,0,22
43,2012,2,0,1,9,1,7,9,3,2,0,1,5,129,0,0,0,24
44,2012,3,0,4,19,5,37,4,3,0,3,0,17,200,0,0,0,0
45,2012,4,0,2,11,0,0,48,7,0,0,3,49,316,0,2,0,0
46,2012,5,0,3,9,2,8,26,2,1,0,0,230,303,0,1,0,2
47,2012,6,0,0,5,3,5,54,4,1,1,2,202,341,0,4,0,0
48,2012,7,0,1,7,0,2,60,4,0,0,7,79,196,0,4,0,0
49,2012,8,0,5,8,0,1,67,8,0,0,4,128,259,0,0,0,0
50,2012,9,0,5,12,11,8,71,3,0,0,1,133,254,0,0,0,2
51,2012,10,0,2,8,1,2,169,2,0,1,0,82,215,0,3,0,1
52,2012,11,0,2,11,10,3,83,2,1,37,0,54,303,0,2,0,1
53,2012,12,0,5,15,7,0,46,4,7,2,0,133,317,0,2,0,0
54,2012,13,0,7,21,1,0,56,3,10,1,0,148,225,0,2,0,0
55,2012,14,0,1,21,3,7,57,4,1,2,2,366,207,0,0,0,5
56,2012,15,0,10,11,0,1,217,5,0,3,4,183,162,0,0,0,0
57,2012,16,0,1,23,2,2,17,4,0,2,1,240,250,0,3,0,0
58,2012,17,0,5,5,0,10,38,17,2,2,1,175,138,0,0,0,0
59,2012,18,0,2,6,5,15,13,1,0,0,0,85,181,0,0,0,0
60,2012,19,0,2,12,0,53,39,6,1,1,5,58,235,0,0,0,0
61,2012,20,0,3,11,4,13,44,8,0,3,0,46,213,0,0,0,0
62,2012,21,0,4,8,0,7,139,7,3,5,0,96,219,0,0,0,5
63,2012,22,0,3,7,4,15,19,31,1,19,4,99,237,0,1,0,1
64,2012,23,0,5,6,1,12,108,4,0,0,4,175,241,0,2,0,7
65,2012,24,0,7,8,1,21,48,5,1,2,1,248,224,0,1,0,3
66,2012,25,0,2,10,3,3,67,4,0,2,2,386,349,0,0,0,2
67,2012,26,0,3,9,2,83,87,4,2,0,0,410,271,0,1,0,6
68,2012,27,0,8,15,5,11,50,7,0,1,3,307,241,0,0,0,2
69,2012,28,0,0,22,2,12,18,25,0,7,4,346,375,0,0,0,7
70,2012,29,0,8,15,9,7,64,2,0,1,0,681,719,0,1,0,145
71,2012,30,0,10,17,7,6,175,9,6,3,2,581,669,0,1,0,8
72,2012,31,0,11,5,4,3,135,4,1,2,1,406,377,0,0,0,14
73,2012,32,0,45,9,19,4,113,13,0,1,4,627,480,0,1,0,84
74,2012,33,0,31,30,8,1,155,11,2,8,0,608,409,0,0,0,134
75,2012,34,0,64,13,12,3,386,17,0,1,4,644,578,0,0,0,164
76,2012,35,0,15,14,14,2,286,4,3,2,0,513,484,0,1,0,91
77,2012,36,0,7,10,4,13,193,9,0,1,2,396,379,0,1,0,141
78,2012,37,0,10,22,26,20,438,8,1,1,2,398,334,0,1,0,201
79,2012,38,0,16,18,6,3,281,10,2,5,0,404,538,0,0,0,144
80,2012,39,0,19,18,9,3,609,10,0,2,2,328,425,0,0,0,139
81,2012,40,0,10,25,4,12,170,3,2,3,2,397,482,0,2,0,134
