,year,week,Protests,ForcePosture,Coerce,Assault,Fight,UnconvMassViolence
0,2011,11,303,11,320,63,292,20
1,2011,12,1123,56,1090,349,2250,11
2,2011,13,824,83,973,141,1141,26
3,2011,14,556,46,528,162,1268,4
4,2011,15,1053,43,861,254,1278,6
5,2011,16,1411,102,1017,295,2674,13
6,2011,17,1166,276,1764,347,3157,15
7,2011,18,966,157,1542,214,1881,12
8,2011,19,662,122,1172,188,1523,7
9,2011,20,671,82,1046,203,1775,9
10,2011,21,477,35,601,165,859,4
11,2011,22,847,61,696,222,1990,22
12,2011,23,750,139,1362,758,3673,82
13,2011,24,706,114,1249,366,2184,20
14,2011,25,709,161,1053,171,1756,5
15,2011,26,624,59,608,194,1174,6
16,2011,27,855,83,772,287,1304,10
17,2011,28,842,63,645,295,1288,7
18,2011,29,599,88,552,150,1055,7
19,2011,30,582,50,705,263,1555,14
20,2011,31,1091,103,1440,871,3446,30
21,2011,32,859,101,1379,648,3029,22
22,2011,33,683,130,1283,642,2353,3
23,2011,34,575,40,872,262,1498,6
24,2011,35,636,44,848,371,1669,6
25,2011,36,330,29,717,351,1443,1
26,2011,37,448,33,545,169,1206,0
27,2011,38,320,30,556,226,903,12
28,2011,39,205,33,391,190,1110,4
29,2011,40,525,82,693,312,1567,0
30,2011,41,465,21,630,277,1393,0
31,2011,42,393,66,745,182,1802,8
32,2011,43,429,7,480,273,1316,14
33,2011,44,356,43,474,159,1344,13
34,2011,45,448,31,770,319,1500,8
35,2011,46,696,56,1397,386,2912,6
36,2011,47,252,36,657,300,1796,4
37,2011,48,246,47,938,321,1535,2
38,2011,49,253,53,586,318,1307,17
39,2011,50,340,60,479,237,2179,3
40,2011,51,287,27,434,466,1826,36
41,2011,52,1172,56,783,267,2186,9
42,2012,1,282,45,386,348,1433,8
43,2012,2,306,69,385,278,1835,1
44,2012,3,199,93,406,248,1264,12
45,2012,4,459,70,567,667,3131,26
46,2012,5,892,50,945,886,3351,145
47,2012,6,752,128,1456,1465,4470,63
48,2012,7,583,120,1079,723,3555,21
49,2012,8,615,74,807,752,5270,27
50,2012,9,600,100,1011,999,4564,42
51,2012,10,513,115,998,704,3261,34
52,2012,11,563,115,1118,1153,3719,92
53,2012,12,462,186,925,629,3570,30
54,2012,13,350,105,790,523,3209,21
55,2012,14,287,51,627,443,2896,41
56,2012,15,523,154,560,591,4701,38
57,2012,16,310,68,542,355,2251,12
58,2012,17,301,48,609,683,2433,13
59,2012,18,349,29,565,506,2445,19
60,2012,19,311,53,541,593,2292,5
61,2012,20,320,101,643,733,3225,20
62,2012,21,500,92,630,1107,3438,255
63,2012,22,410,98,1720,644,3217,514
64,2012,23,303,63,676,654,3383,211
65,2012,24,257,76,456,666,3438,174
66,2012,25,403,344,573,398,3987,84
67,2012,26,164,425,544,394,3830,49
68,2012,27,237,324,569,500,3074,24
69,2012,28,175,135,356,482,3063,203
70,2012,29,385,302,822,841,6800,76
71,2012,30,281,419,809,926,5835,61
72,2012,31,246,294,1087,1205,5088,76
73,2012,32,167,126,807,1223,4804,56
74,2012,33,257,122,721,1233,4107,35
75,2012,34,181,123,580,858,5048,77
76,2012,35,326,91,756,600,3802,63
77,2012,36,200,126,545,577,3457,23
78,2012,37,205,64,324,467,2251,18
79,2012,38,376,102,584,530,3687,3
80,2012,39,157,50,387,663,3381,16
81,2012,40,228,177,463,583,4901,18
82,2012,41,170,258,754,461,3918,6
83,2012,42,213,96,724,826,2612,10
84,2012,43,219,45,420,581,3425,13
85,2012,44,136,56,326,725,3256,19
86,2012,45,121,97,422,807,3589,15
87,2012,46,109,124,509,250,2648,14
88,2012,47,69,44,231,134,1922,12
89,2012,48,114,41,324,482,2774,10
90,2012,49,91,151,316,283,2714,17
91,2012,50,152,63,384,330,2531,23
92,2012,51,140,32,595,681,2530,28
93,2012,52,169,29,387,287,2146,19
94,2013,1,158,42,467,554,2853,7
95,2013,2,134,60,461,347,1640,7
96,2013,3,83,22,243,403,1982,36
97,2013,4,111,43,272,148,1774,26
98,2013,5,144,235,457,382,2894,34
99,2013,6,175,34,445,317,2049,4
100,2013,7,90,26,300,365,2401,0
101,2013,8,132,30,387,433,2072,10
102,2013,9,143,35,269,238,2192,9
103,2013,10,202,48,800,624,2051,16
104,2013,11,167,59,450,386,2124,18
105,2013,12,100,82,338,398,2900,17
106,2013,13,141,43,359,302,1657,1
107,2013,14,65,27,112,153,845,4
108,2013,15,36,32,173,254,1012,4
109,2013,16,89,62,254,151,1017,6
110,2013,17,101,38,156,215,1189,7
111,2013,18,54,41,192,230,1794,53
112,2013,19,103,44,262,339,1498,38
113,2013,20,85,30,221,320,1091,27
114,2013,21,70,61,230,171,2026,7
115,2013,22,113,53,276,286,2378,5
116,2013,23,171,123,315,330,2189,8
117,2013,24,217,196,297,370,3021,29
118,2013,25,165,153,413,339,2833,37
119,2013,26,193,68,287,352,1916,20
120,2013,27,189,46,255,228,1420,3
