,year,week,Adult - Female,Adult - Male,Child - Female,Child - Male
0,2011,11,0,10,0,2
1,2011,12,0,172,4,8
2,2011,13,2,29,0,1
3,2011,14,0,17,0,1
4,2011,15,0,37,0,2
5,2011,16,2,212,2,14
6,2011,17,2,294,6,13
7,2011,18,6,89,0,10
8,2011,19,8,60,0,0
9,2011,20,2,176,1,12
10,2011,21,3,46,1,1
11,2011,22,9,230,1,13
12,2011,23,1,107,0,5
13,2011,24,0,13,0,2
14,2011,25,0,29,0,8
15,2011,26,3,44,0,2
16,2011,27,0,49,0,1
17,2011,28,1,59,0,9
18,2011,29,2,65,0,11
19,2011,30,2,291,5,14
20,2011,31,7,200,8,19
21,2011,32,13,166,8,10
22,2011,33,4,129,3,10
23,2011,34,1,66,0,6
24,2011,35,7,143,6,7
25,2011,36,4,96,2,9
26,2011,37,9,185,0,21
27,2011,38,5,82,1,5
28,2011,39,4,110,0,7
29,2011,40,2,108,1,6
30,2011,41,3,53,2,5
31,2011,42,5,144,3,5
32,2011,43,6,111,3,13
33,2011,44,3,178,0,9
34,2011,45,5,143,4,14
35,2011,46,4,227,4,18
36,2011,47,5,209,1,30
37,2011,48,16,217,8,21
38,2011,49,11,245,8,40
39,2011,50,14,243,3,20
40,2011,51,19,392,2,37
41,2011,52,12,267,7,16
42,2012,1,14,306,6,19
43,2012,2,7,168,5,11
44,2012,3,7,270,5,10
45,2012,4,23,377,4,34
46,2012,5,27,508,14,38
47,2012,6,49,500,24,49
48,2012,7,8,324,9,19
49,2012,8,12,402,19,47
50,2012,9,17,425,23,35
51,2012,10,31,390,26,39
52,2012,11,10,465,7,27
53,2012,12,27,453,29,29
54,2012,13,24,399,17,34
55,2012,14,32,601,16,27
56,2012,15,35,505,24,32
57,2012,16,13,517,3,12
58,2012,17,27,329,11,26
59,2012,18,12,273,6,17
60,2012,19,45,335,7,25
61,2012,20,11,283,13,38
62,2012,21,44,326,35,88
63,2012,22,17,379,4,41
64,2012,23,33,480,14,38
65,2012,24,33,481,25,31
66,2012,25,37,709,25,59
67,2012,26,80,716,23,59
68,2012,27,49,522,17,62
69,2012,28,53,679,16,70
70,2012,29,79,1406,59,108
71,2012,30,100,1241,51,102
72,2012,31,59,826,20,58
73,2012,32,115,1121,47,117
74,2012,33,112,1125,49,111
75,2012,34,140,1549,68,129
