year,week,province,Adult - Female,Adult - Male,Child - Female,Child - Male
2011,11,Aleppo,0.0,0.0,0.0,0.0
2011,11,Damascus,0.0,0.0,0.0,0.0
2011,11,Damascus Suburbs,0.0,0.0,0.0,0.0
2011,11,Daraa,0.0,10.0,0.0,2.0
2011,11,Deir Ezzor,0.0,0.0,0.0,0.0
2011,11,Hama,0.0,0.0,0.0,0.0
2011,11,Hasakeh,0.0,0.0,0.0,0.0
2011,11,Homs,0.0,0.0,0.0,0.0
2011,11,Idlib,0.0,0.0,0.0,0.0
2011,11,Lattakia,0.0,0.0,0.0,0.0
2011,11,Quneitra,0.0,0.0,0.0,0.0
2011,11,Raqqa,0.0,0.0,0.0,0.0
2011,11,Sweida,0.0,0.0,0.0,0.0
2011,11,Tartous,0.0,0.0,0.0,0.0
2011,12,Aleppo,0.0,0.0,0.0,0.0
2011,12,Damascus,0.0,0.0,0.0,0.0
2011,12,Damascus Suburbs,0.0,0.0,0.0,0.0
2011,12,Daraa,0.0,135.0,4.0,4.0
2011,12,Deir Ezzor,0.0,0.0,0.0,0.0
2011,12,Hama,0.0,0.0,0.0,0.0
2011,12,Hasakeh,0.0,0.0,0.0,0.0
2011,12,Homs,0.0,2.0,0.0,0.0
2011,12,Idlib,0.0,0.0,0.0,0.0
2011,12,Lattakia,0.0,35.0,0.0,4.0
2011,12,Quneitra,0.0,0.0,0.0,0.0
2011,12,Raqqa,0.0,0.0,0.0,0.0
2011,12,Sweida,0.0,0.0,0.0,0.0
2011,12,Tartous,0.0,0.0,0.0,0.0
2011,13,Aleppo,0.0,0.0,0.0,0.0
2011,13,Damascus,0.0,0.0,0.0,0.0
2011,13,Damascus Suburbs,0.0,11.0,0.0,1.0
2011,13,Daraa,0.0,3.0,0.0,0.0
2011,13,Deir Ezzor,0.0,0.0,0.0,0.0
2011,13,Hama,0.0,0.0,0.0,0.0
2011,13,Hasakeh,0.0,0.0,0.0,0.0
2011,13,Homs,2.0,8.0,0.0,0.0
2011,13,Idlib,0.0,1.0,0.0,0.0
2011,13,Lattakia,0.0,6.0,0.0,0.0
2011,13,Quneitra,0.0,0.0,0.0,0.0
2011,13,Raqqa,0.0,0.0,0.0,0.0
2011,13,Sweida,0.0,0.0,0.0,0.0
2011,13,Tartous,0.0,0.0,0.0,0.0
2011,14,Aleppo,0.0,1.0,0.0,0.0
2011,14,Damascus,0.0,0.0,0.0,0.0
2011,14,Damascus Suburbs,0.0,2.0,0.0,0.0
2011,14,Daraa,0.0,7.0,0.0,0.0
2011,14,Deir Ezzor,0.0,3.0,0.0,0.0
2011,14,Hama,0.0,0.0,0.0,0.0
2011,14,Hasakeh,0.0,0.0,0.0,0.0
2011,14,Homs,0.0,3.0,0.0,1.0
2011,14,Idlib,0.0,0.0,0.0,0.0
2011,14,Lattakia,0.0,1.0,0.0,0.0
2011,14,Quneitra,0.0,0.0,0.0,0.0
2011,14,Raqqa,0.0,0.0,0.0,0.0
2011,14,Sweida,0.0,0.0,0.0,0.0
2011,14,Tartous,0.0,0.0,0.0,0.0
2011,15,Aleppo,0.0,0.0,0.0,0.0
2011,15,Damascus,0.0,0.0,0.0,0.0
2011,15,Damascus Suburbs,0.0,0.0,0.0,0.0
2011,15,Daraa,0.0,1.0,0.0,0.0
2011,15,Deir Ezzor,0.0,2.0,0.0,0.0
2011,15,Hama,0.0,0.0,0.0,0.0
2011,15,Hasakeh,0.0,0.0,0.0,0.0
2011,15,Homs,0.0,15.0,0.0,2.0
2011,15,Idlib,0.0,1.0,0.0,0.0
2011,15,Lattakia,0.0,17.0,0.0,0.0
2011,15,Quneitra,0.0,0.0,0.0,0.0
2011,15,Raqqa,0.0,0.0,0.0,0.0
2011,15,Sweida,0.0,0.0,0.0,0.0
2011,15,Tartous,0.0,1.0,0.0,0.0
2011,16,Aleppo,0.0,0.0,0.0,0.0
2011,16,Damascus,0.0,28.0,2.0,4.0
2011,16,Damascus Suburbs,0.0,52.0,0.0,1.0
2011,16,Daraa,0.0,33.0,0.0,4.0
2011,16,Deir Ezzor,0.0,2.0,0.0,0.0
2011,16,Hama,0.0,13.0,0.0,2.0
2011,16,Hasakeh,0.0,1.0,0.0,0.0
2011,16,Homs,0.0,51.0,0.0,3.0
2011,16,Idlib,0.0,1.0,0.0,0.0
2011,16,Lattakia,2.0,27.0,0.0,0.0
2011,16,Quneitra,0.0,0.0,0.0,0.0
2011,16,Raqqa,0.0,0.0,0.0,0.0
2011,16,Sweida,0.0,1.0,0.0,0.0
2011,16,Tartous,0.0,3.0,0.0,0.0
2011,17,Aleppo,0.0,0.0,0.0,0.0
2011,17,Damascus,0.0,2.0,0.0,0.0
2011,17,Damascus Suburbs,0.0,15.0,0.0,0.0
2011,17,Daraa,2.0,198.0,5.0,7.0
2011,17,Deir Ezzor,0.0,3.0,0.0,0.0
2011,17,Hama,0.0,9.0,0.0,0.0
