year,week,none,Civilian,Non-Civilian,Adult - Female,Adult - Male,Child - Female,Child - Male,Chemical and toxic gases,Detention - Execution,Detention - Torture,Detention - Torture - Execution,Explosion,Field Execution,Kidnapping - Execution,Kidnapping - Torture,Kidnapping - Torture - Execution,Other,Shelling,Shooting,Siege,Un-allowed to seek Medical help,Unknown,Warplane shelling,total,Hasakeh,Aleppo,Raqqa,Sweida,Damascus,Daraa,Deir Ezzor,Hama,Homs,Idlib,Lattakia,Quneitra,Damascus Suburbs,Tartous
2011,11,,12,0,0,10,0,2,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0
2011,12,,182,2,0,172,4,8,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,184,0,0,0,0,0,143,0,0,2,0,39,0,0,0
2011,13,,30,2,2,29,0,1,0,0,1,1,0,1,0,0,1,1,0,27,0,0,0,0,32,0,0,0,0,0,3,0,0,10,1,6,0,12,0
2011,14,,16,2,0,17,0,1,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,18,0,1,0,0,0,7,3,0,4,0,1,0,2,0
2011,15,,37,2,0,37,0,2,0,0,3,0,0,1,0,0,0,0,0,35,0,0,0,0,39,0,0,0,0,0,1,2,0,17,1,17,0,0,1
2011,16,,221,9,2,212,2,14,0,1,0,0,1,2,0,0,0,1,0,225,0,0,0,0,230,1,0,0,1,34,37,2,15,54,1,29,0,53,3
2011,17,,296,19,2,294,6,13,0,0,16,0,0,7,0,0,0,0,10,280,0,2,0,0,315,3,0,0,0,2,212,3,9,54,4,13,0,15,0
2011,18,,97,8,6,89,0,10,0,0,0,0,0,5,0,0,2,0,0,98,0,0,0,0,105,2,0,1,0,0,17,5,20,24,18,5,0,4,9
2011,19,,63,5,8,60,0,0,0,0,2,0,0,9,0,0,0,1,0,56,0,0,0,0,68,0,0,0,0,1,37,0,0,25,1,0,0,2,2
2011,20,,180,11,2,176,1,12,0,4,16,1,0,18,0,0,0,3,2,147,0,0,0,0,191,2,0,0,0,2,43,6,3,75,40,3,0,13,4
2011,21,,45,6,3,46,1,1,0,0,4,2,0,6,0,0,0,0,0,39,0,0,0,0,51,0,1,0,0,0,9,0,3,28,1,2,0,7,0
2011,22,,242,11,9,230,1,13,0,0,3,3,0,4,0,0,2,0,8,233,0,0,0,0,253,0,2,0,0,6,19,11,80,44,84,6,0,1,0
2011,23,,105,8,1,107,0,5,0,0,2,0,0,3,0,0,0,1,0,107,0,0,0,0,113,0,0,0,0,44,2,2,1,8,33,21,0,2,0
2011,24,,14,1,0,13,0,2,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,1,0,0,0,1,3,1,6,0,0,0,3,0
2011,25,,36,1,0,29,0,8,0,0,1,0,0,1,0,0,0,1,1,33,0,0,0,0,37,0,0,0,0,5,1,0,10,15,1,0,0,5,0
2011,26,,44,5,3,44,0,2,0,0,3,0,1,0,0,0,0,2,0,43,0,0,0,0,49,1,2,0,0,9,1,2,0,16,16,1,0,1,0
2011,27,,48,2,0,49,0,1,0,0,4,0,0,4,0,0,1,0,0,41,0,0,0,0,50,0,0,0,0,1,3,0,34,7,3,0,0,1,1
2011,28,,62,7,1,59,0,9,0,0,2,0,0,4,0,0,0,1,0,62,0,0,0,0,69,0,3,0,0,16,2,15,1,12,13,1,0,6,0
2011,29,,72,6,2,65,0,11,0,0,7,2,0,0,0,0,0,1,1,67,0,0,0,0,78,0,2,0,0,3,5,3,2,52,5,2,0,4,0
2011,30,,302,10,2,291,5,14,0,1,1,0,0,6,0,1,1,4,2,296,0,0,0,0,312,0,3,0,0,4,27,52,176,10,9,2,0,29,0
2011,31,,224,10,7,200,8,19,0,1,5,2,0,7,0,0,1,3,15,196,0,4,0,0,234,0,2,0,0,8,7,15,77,66,12,16,0,31,0
2011,32,,178,19,13,166,8,10,0,1,18,0,2,11,0,0,0,0,5,160,0,0,0,0,197,1,4,0,0,0,9,15,39,44,12,58,0,15,0
2011,33,,143,3,4,129,3,10,0,0,8,0,0,4,8,0,0,0,2,124,0,0,0,0,146,0,0,0,0,0,14,2,9,73,9,34,0,5,0
2011,34,,64,9,1,66,0,6,0,1,8,1,0,5,2,0,0,2,2,52,0,0,0,0,73,0,0,0,0,3,4,12,8,19,13,7,0,7,0
2011,35,,158,5,7,143,6,7,0,3,11,0,0,5,0,0,0,2,0,142,0,0,0,0,163,0,7,0,0,3,47,14,7,40,24,0,0,21,0
2011,36,,96,15,4,96,2,9,0,2,9,0,0,9,1,0,1,1,2,86,0,0,0,0,111,0,1,0,0,3,8,5,11,55,16,4,0,8,0
2011,37,,194,21,9,185,0,21,0,4,11,6,0,0,2,0,1,3,2,186,0,0,0,0,215,0,2,0,0,5,15,11,77,42,43,5,0,15,0
2011,38,,72,21,5,82,1,5,0,1,7,3,0,2,0,0,0,0,4,76,0,0,0,0,93,1,4,0,1,1,3,0,12,53,8,1,0,9,0
