year,week,province,Civilian,Non-Civilian
2011,11,Aleppo,0.0,0.0
2011,11,Damascus,0.0,0.0
2011,11,Damascus Suburbs,0.0,0.0
2011,11,Daraa,12.0,0.0
2011,11,Deir Ezzor,0.0,0.0
2011,11,Hama,0.0,0.0
2011,11,Hasakeh,0.0,0.0
2011,11,Homs,0.0,0.0
2011,11,Idlib,0.0,0.0
2011,11,Lattakia,0.0,0.0
2011,11,Quneitra,0.0,0.0
2011,11,Raqqa,0.0,0.0
2011,11,Sweida,0.0,0.0
2011,11,Tartous,0.0,0.0
2011,12,Aleppo,0.0,0.0
2011,12,Damascus,0.0,0.0
2011,12,Damascus Suburbs,0.0,0.0
2011,12,Daraa,143.0,0.0
2011,12,Deir Ezzor,0.0,0.0
2011,12,Hama,0.0,0.0
2011,12,Hasakeh,0.0,0.0
2011,12,Homs,0.0,2.0
2011,12,Idlib,0.0,0.0
2011,12,Lattakia,39.0,0.0
2011,12,Quneitra,0.0,0.0
2011,12,Raqqa,0.0,0.0
2011,12,Sweida,0.0,0.0
2011,12,Tartous,0.0,0.0
2011,13,Aleppo,0.0,0.0
2011,13,Damascus,0.0,0.0
2011,13,Damascus Suburbs,12.0,0.0
2011,13,Daraa,2.0,1.0
2011,13,Deir Ezzor,0.0,0.0
2011,13,Hama,0.0,0.0
2011,13,Hasakeh,0.0,0.0
2011,13,Homs,10.0,0.0
2011,13,Idlib,1.0,0.0
2011,13,Lattakia,5.0,1.0
2011,13,Quneitra,0.0,0.0
2011,13,Raqqa,0.0,0.0
2011,13,Sweida,0.0,0.0
2011,13,Tartous,0.0,0.0
2011,14,Aleppo,0.0,1.0
2011,14,Damascus,0.0,0.0
2011,14,Damascus Suburbs,2.0,0.0
2011,14,Daraa,7.0,0.0
2011,14,Deir Ezzor,3.0,0.0
2011,14,Hama,0.0,0.0
2011,14,Hasakeh,0.0,0.0
2011,14,Homs,4.0,0.0
2011,14,Idlib,0.0,0.0
2011,14,Lattakia,0.0,1.0
2011,14,Quneitra,0.0,0.0
2011,14,Raqqa,0.0,0.0
2011,14,Sweida,0.0,0.0
2011,14,Tartous,0.0,0.0
2011,15,Aleppo,0.0,0.0
2011,15,Damascus,0.0,0.0
2011,15,Damascus Suburbs,0.0,0.0
2011,15,Daraa,0.0,1.0
2011,15,Deir Ezzor,2.0,0.0
2011,15,Hama,0.0,0.0
2011,15,Hasakeh,0.0,0.0
2011,15,Homs,16.0,1.0
2011,15,Idlib,1.0,0.0
2011,15,Lattakia,17.0,0.0
2011,15,Quneitra,0.0,0.0
2011,15,Raqqa,0.0,0.0
2011,15,Sweida,0.0,0.0
2011,15,Tartous,1.0,0.0
2011,16,Aleppo,0.0,0.0
2011,16,Damascus,34.0,0.0
2011,16,Damascus Suburbs,52.0,1.0
2011,16,Daraa,35.0,2.0
2011,16,Deir Ezzor,1.0,1.0
2011,16,Hama,14.0,1.0
2011,16,Hasakeh,0.0,1.0
2011,16,Homs,53.0,1.0
2011,16,Idlib,1.0,0.0
2011,16,Lattakia,27.0,2.0
2011,16,Quneitra,0.0,0.0
2011,16,Raqqa,0.0,0.0
2011,16,Sweida,1.0,0.0
2011,16,Tartous,3.0,0.0
2011,17,Aleppo,0.0,0.0
2011,17,Damascus,0.0,2.0
2011,17,Damascus Suburbs,15.0,0.0
2011,17,Daraa,208.0,4.0
2011,17,Deir Ezzor,2.0,1.0
2011,17,Hama,5.0,4.0
2011,17,Hasakeh,0.0,3.0
2011,17,Homs,51.0,3.0
2011,17,Idlib,2.0,2.0
2011,17,Lattakia,13.0,0.0
2011,17,Quneitra,0.0,0.0
2011,17,Raqqa,0.0,0.0
2011,17,Sweida,0.0,0.0
2011,17,Tartous,0.0,0.0
2011,18,Aleppo,0.0,0.0
2011,18,Damascus,0.0,0.0
2011,18,Damascus Suburbs,3.0,1.0
2011,18,Daraa,16.0,1.0
2011,18,Deir Ezzor,5.0,0.0
2011,18,Hama,20.0,0.0
2011,18,Hasakeh,2.0,0.0
2011,18,Homs,23.0,1.0
2011,18,Idlib,14.0,4.0
2011,18,Lattakia,5.0,0.0
2011,18,Quneitra,0.0,0.0
2011,18,Raqqa,0.0,1.0
2011,18,Sweida,0.0,0.0
2011,18,Tartous,9.0,0.0
2011,19,Aleppo,0.0,0.0
2011,19,Damascus,1.0,0.0
2011,19,Damascus Suburbs,1.0,1.0
2011,19,Daraa,36.0,1.0
2011,19,Deir Ezzor,0.0,0.0
2011,19,Hama,0.0,0.0
2011,19,Hasakeh,0.0,0.0
2011,19,Homs,23.0,2.0
2011,19,Idlib,0.0,1.0
2011,19,Lattakia,0.0,0.0
2011,19,Quneitra,0.0,0.0
2011,19,Raqqa,0.0,0.0
2011,19,Sweida,0.0,0.0
2011,19,Tartous,2.0,0.0
2011,20,Aleppo,0.0,0.0
2011,20,Damascus,2.0,0.0
2011,20,Damascus Suburbs,10.0,3.0
2011,20,Daraa,42.0,1.0
2011,20,Deir Ezzor,6.0,0.0
2011,20,Hama,3.0,0.0
2011,20,Hasakeh,0.0,2.0
2011,20,Homs,74.0,1.0
2011,20,Idlib,36.0,4.0
2011,20,Lattakia,3.0,0.0
2011,20,Quneitra,0.0,0.0
2011,20,Raqqa,0.0,0.0
2011,20,Sweida,0.0,0.0
2011,20,Tartous,4.0,0.0
2011,21,Aleppo,1.0,0.0
2011,21,Damascus,0.0,0.0
2011,21,Damascus Suburbs,7.0,0.0
2011,21,Daraa,8.0,1.0
2011,21,Deir Ezzor,0.0,0.0
2011,21,Hama,3.0,0.0
2011,21,Hasakeh,0.0,0.0
2011,21,Homs,24.0,4.0
2011,21,Idlib,1.0,0.0
2011,21,Lattakia,1.0,1.0
2011,21,Quneitra,0.0,0.0
2011,21,Raqqa,0.0,0.0
2011,21,Sweida,0.0,0.0
2011,21,Tartous,0.0,0.0
2011,22,Aleppo,2.0,0.0
2011,22,Damascus,5.0,1.0
2011,22,Damascus Suburbs,1.0,0.0
2011,22,Daraa,19.0,0.0
2011,22,Deir Ezzor,11.0,0.0
2011,22,Hama,80.0,0.0
2011,22,Hasakeh,0.0,0.0
2011,22,Homs,40.0,4.0
2011,22,Idlib,78.0,6.0
2011,22,Lattakia,6.0,0.0
2011,22,Quneitra,0.0,0.0
2011,22,Raqqa,0.0,0.0
2011,22,Sweida,0.0,0.0
2011,22,Tartous,0.0,0.0
2011,23,Aleppo,0.0,0.0
2011,23,Damascus,44.0,0.0
2011,23,Damascus Suburbs,2.0,0.0
2011,23,Daraa,2.0,0.0
2011,23,Deir Ezzor,2.0,0.0
2011,23,Hama,1.0,0.0
2011,23,Hasakeh,0.0,0.0
2011,23,Homs,8.0,0.0
2011,23,Idlib,25.0,8.0
2011,23,Lattakia,21.0,0.0
2011,23,Quneitra,0.0,0.0
2011,23,Raqqa,0.0,0.0
2011,23,Sweida,0.0,0.0
2011,23,Tartous,0.0,0.0
2011,24,Aleppo,1.0,0.0
2011,24,Damascus,0.0,0.0
2011,24,Damascus Suburbs,3.0,0.0
2011,24,Daraa,1.0,0.0
2011,24,Deir Ezzor,2.0,1.0
2011,24,Hama,1.0,0.0
2011,24,Hasakeh,0.0,0.0
2011,24,Homs,6.0,0.0
2011,24,Idlib,0.0,0.0
2011,24,Lattakia,0.0,0.0
2011,24,Quneitra,0.0,0.0
2011,24,Raqqa,0.0,0.0
2011,24,Sweida,0.0,0.0
2011,24,Tartous,0.0,0.0
2011,25,Aleppo,0.0,0.0
2011,25,Damascus,5.0,0.0
2011,25,Damascus Suburbs,5.0,0.0
2011,25,Daraa,1.0,0.0
2011,25,Deir Ezzor,0.0,0.0
2011,25,Hama,10.0,0.0
2011,25,Hasakeh,0.0,0.0
2011,25,Homs,15.0,0.0
2011,25,Idlib,0.0,1.0
2011,25,Lattakia,0.0,0.0
2011,25,Quneitra,0.0,0.0
2011,25,Raqqa,0.0,0.0
2011,25,Sweida,0.0,0.0
2011,25,Tartous,0.0,0.0
2011,26,Aleppo,2.0,0.0
2011,26,Damascus,9.0,0.0
2011,26,Damascus Suburbs,1.0,0.0
2011,26,Daraa,1.0,0.0
2011,26,Deir Ezzor,2.0,0.0
2011,26,Hama,0.0,0.0
2011,26,Hasakeh,1.0,0.0
2011,26,Homs,15.0,1.0
2011,26,Idlib,12.0,4.0
2011,26,Lattakia,1.0,0.0
2011,26,Quneitra,0.0,0.0
2011,26,Raqqa,0.0,0.0
2011,26,Sweida,0.0,0.0
2011,26,Tartous,0.0,0.0
2011,27,Aleppo,0.0,0.0
2011,27,Damascus,1.0,0.0
2011,27,Damascus Suburbs,1.0,0.0
2011,27,Daraa,2.0,1.0
2011,27,Deir Ezzor,0.0,0.0
2011,27,Hama,33.0,1.0
2011,27,Hasakeh,0.0,0.0
2011,27,Homs,7.0,0.0
2011,27,Idlib,3.0,0.0
2011,27,Lattakia,0.0,0.0
2011,27,Quneitra,0.0,0.0
2011,27,Raqqa,0.0,0.0
2011,27,Sweida,0.0,0.0
2011,27,Tartous,1.0,0.0
2011,28,Aleppo,3.0,0.0
2011,28,Damascus,16.0,0.0
2011,28,Damascus Suburbs,5.0,1.0
2011,28,Daraa,2.0,0.0
2011,28,Deir Ezzor,11.0,4.0
2011,28,Hama,1.0,0.0
2011,28,Hasakeh,0.0,0.0
2011,28,Homs,12.0,0.0
2011,28,Idlib,11.0,2.0
2011,28,Lattakia,1.0,0.0
2011,28,Quneitra,0.0,0.0
2011,28,Raqqa,0.0,0.0
2011,28,Sweida,0.0,0.0
2011,28,Tartous,0.0,0.0
2011,29,Aleppo,2.0,0.0
2011,29,Damascus,3.0,0.0
2011,29,Damascus Suburbs,4.0,0.0
2011,29,Daraa,3.0,2.0
2011,29,Deir Ezzor,2.0,1.0
2011,29,Hama,2.0,0.0
2011,29,Hasakeh,0.0,0.0
2011,29,Homs,51.0,1.0
2011,29,Idlib,5.0,0.0
2011,29,Lattakia,0.0,2.0
2011,29,Quneitra,0.0,0.0
2011,29,Raqqa,0.0,0.0
2011,29,Sweida,0.0,0.0
2011,29,Tartous,0.0,0.0
2011,30,Aleppo,0.0,3.0
2011,30,Damascus,4.0,0.0
2011,30,Damascus Suburbs,27.0,2.0
2011,30,Daraa,25.0,2.0
2011,30,Deir Ezzor,50.0,2.0
2011,30,Hama,175.0,1.0
2011,30,Hasakeh,0.0,0.0
2011,30,Homs,10.0,0.0
2011,30,Idlib,9.0,0.0
2011,30,Lattakia,2.0,0.0
2011,30,Quneitra,0.0,0.0
2011,30,Raqqa,0.0,0.0
2011,30,Sweida,0.0,0.0
2011,30,Tartous,0.0,0.0
2011,31,Aleppo,2.0,0.0
2011,31,Damascus,8.0,0.0
