"","year","week","province","count"
"1",2011,11,"Hasakeh",0
"2",2011,11,"Aleppo",0
"3",2011,11,"Raqqa",0
"4",2011,11,"Sweida",0
"5",2011,11,"Damascus",0
"6",2011,11,"Daraa",12
"7",2011,11,"Deir.Ezzor",0
"8",2011,11,"Hama",0
"9",2011,11,"Homs",0
"10",2011,11,"Idlib",0
"11",2011,11,"Lattakia",0
"12",2011,11,"Quneitra",0
"13",2011,11,"Damascus.Suburbs",0
"14",2011,11,"Tartous",0
"15",2011,12,"Hasakeh",0
"16",2011,12,"Aleppo",0
"17",2011,12,"Raqqa",0
"18",2011,12,"Sweida",0
"19",2011,12,"Damascus",0
"20",2011,12,"Daraa",143
"21",2011,12,"Deir.Ezzor",0
"22",2011,12,"Hama",0
"23",2011,12,"Homs",2
"24",2011,12,"Idlib",0
"25",2011,12,"Lattakia",39
"26",2011,12,"Quneitra",0
"27",2011,12,"Damascus.Suburbs",0
"28",2011,12,"Tartous",0
"29",2011,13,"Hasakeh",0
"30",2011,13,"Aleppo",0
"31",2011,13,"Raqqa",0
"32",2011,13,"Sweida",0
"33",2011,13,"Damascus",0
"34",2011,13,"Daraa",3
"35",2011,13,"Deir.Ezzor",0
"36",2011,13,"Hama",0
"37",2011,13,"Homs",10
"38",2011,13,"Idlib",1
"39",2011,13,"Lattakia",6
"40",2011,13,"Quneitra",0
"41",2011,13,"Damascus.Suburbs",12
"42",2011,13,"Tartous",0
"43",2011,14,"Hasakeh",0
"44",2011,14,"Aleppo",1
"45",2011,14,"Raqqa",0
"46",2011,14,"Sweida",0
"47",2011,14,"Damascus",0
"48",2011,14,"Daraa",7
"49",2011,14,"Deir.Ezzor",3
"50",2011,14,"Hama",0
"51",2011,14,"Homs",4
"52",2011,14,"Idlib",0
"53",2011,14,"Lattakia",1
"54",2011,14,"Quneitra",0
"55",2011,14,"Damascus.Suburbs",2
"56",2011,14,"Tartous",0
"57",2011,15,"Hasakeh",0
"58",2011,15,"Aleppo",0
"59",2011,15,"Raqqa",0
"60",2011,15,"Sweida",0
"61",2011,15,"Damascus",0
"62",2011,15,"Daraa",1
"63",2011,15,"Deir.Ezzor",2
"64",2011,15,"Hama",0
"65",2011,15,"Homs",17
"66",2011,15,"Idlib",1
"67",2011,15,"Lattakia",17
"68",2011,15,"Quneitra",0
"69",2011,15,"Damascus.Suburbs",0
"70",2011,15,"Tartous",1
"71",2011,16,"Hasakeh",1
"72",2011,16,"Aleppo",0
"73",2011,16,"Raqqa",0
"74",2011,16,"Sweida",1
"75",2011,16,"Damascus",34
"76",2011,16,"Daraa",37
"77",2011,16,"Deir.Ezzor",2
"78",2011,16,"Hama",15
"79",2011,16,"Homs",54
"80",2011,16,"Idlib",1
"81",2011,16,"Lattakia",29
"82",2011,16,"Quneitra",0
"83",2011,16,"Damascus.Suburbs",53
"84",2011,16,"Tartous",3
"85",2011,17,"Hasakeh",3
"86",2011,17,"Aleppo",0
"87",2011,17,"Raqqa",0
"88",2011,17,"Sweida",0
"89",2011,17,"Damascus",2
"90",2011,17,"Daraa",212
"91",2011,17,"Deir.Ezzor",3
"92",2011,17,"Hama",9
"93",2011,17,"Homs",54
"94",2011,17,"Idlib",4
"95",2011,17,"Lattakia",13
"96",2011,17,"Quneitra",0
"97",2011,17,"Damascus.Suburbs",15
"98",2011,17,"Tartous",0
"99",2011,18,"Hasakeh",2
"100",2011,18,"Aleppo",0
"101",2011,18,"Raqqa",1
"102",2011,18,"Sweida",0
"103",2011,18,"Damascus",0
"104",2011,18,"Daraa",17
"105",2011,18,"Deir.Ezzor",5
"106",2011,18,"Hama",20
"107",2011,18,"Homs",24
"108",2011,18,"Idlib",18
"109",2011,18,"Lattakia",5
"110",2011,18,"Quneitra",0
"111",2011,18,"Damascus.Suburbs",4
"112",2011,18,"Tartous",9
"113",2011,19,"Hasakeh",0
"114",2011,19,"Aleppo",0
"115",2011,19,"Raqqa",0
"116",2011,19,"Sweida",0
"117",2011,19,"Damascus",1
"118",2011,19,"Daraa",37
"119",2011,19,"Deir.Ezzor",0
"120",2011,19,"Hama",0
"121",2011,19,"Homs",25
"122",2011,19,"Idlib",1
"123",2011,19,"Lattakia",0
"124",2011,19,"Quneitra",0
"125",2011,19,"Damascus.Suburbs",2
"126",2011,19,"Tartous",2
"127",2011,20,"Hasakeh",2
"128",2011,20,"Aleppo",0
"129",2011,20,"Raqqa",0
"130",2011,20,"Sweida",0
"131",2011,20,"Damascus",2
"132",2011,20,"Daraa",43
"133",2011,20,"Deir.Ezzor",6
"134",2011,20,"Hama",3
"135",2011,20,"Homs",75
"136",2011,20,"Idlib",40
"137",2011,20,"Lattakia",3
"138",2011,20,"Quneitra",0
"139",2011,20,"Damascus.Suburbs",13
"140",2011,20,"Tartous",4
