,year,week,Hasakeh,Aleppo,Raqqa,Sweida,Damascus,Daraa,Deir Ezzor,Hama,Homs,Idlib,Lattakia,Quneitra,Damascus Suburbs,Tartous
0,2011,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0
1,2011,12,0,0,0,0,0,143,0,0,2,0,39,0,0,0
2,2011,13,0,0,0,0,0,3,0,0,10,1,6,0,12,0
3,2011,14,0,1,0,0,0,7,3,0,4,0,1,0,2,0
4,2011,15,0,0,0,0,0,1,2,0,17,1,17,0,0,1
5,2011,16,1,0,0,1,34,37,2,15,54,1,29,0,53,3
6,2011,17,3,0,0,0,2,212,3,9,54,4,13,0,15,0
7,2011,18,2,0,1,0,0,17,5,20,24,18,5,0,4,9
8,2011,19,0,0,0,0,1,37,0,0,25,1,0,0,2,2
9,2011,20,2,0,0,0,2,43,6,3,75,40,3,0,13,4
10,2011,21,0,1,0,0,0,9,0,3,28,1,2,0,7,0
11,2011,22,0,2,0,0,6,19,11,80,44,84,6,0,1,0
12,2011,23,0,0,0,0,44,2,2,1,8,33,21,0,2,0
13,2011,24,0,1,0,0,0,1,3,1,6,0,0,0,3,0
14,2011,25,0,0,0,0,5,1,0,10,15,1,0,0,5,0
15,2011,26,1,2,0,0,9,1,2,0,16,16,1,0,1,0
16,2011,27,0,0,0,0,1,3,0,34,7,3,0,0,1,1
17,2011,28,0,3,0,0,16,2,15,1,12,13,1,0,6,0
18,2011,29,0,2,0,0,3,5,3,2,52,5,2,0,4,0
19,2011,30,0,3,0,0,4,27,52,176,10,9,2,0,29,0
20,2011,31,0,2,0,0,8,7,15,77,66,12,16,0,31,0
21,2011,32,1,4,0,0,0,9,15,39,44,12,58,0,15,0
22,2011,33,0,0,0,0,0,14,2,9,73,9,34,0,5,0
23,2011,34,0,0,0,0,3,4,12,8,19,13,7,0,7,0
24,2011,35,0,7,0,0,3,47,14,7,40,24,0,0,21,0
25,2011,36,0,1,0,0,3,8,5,11,55,16,4,0,8,0
26,2011,37,0,2,0,0,5,15,11,77,42,43,5,0,15,0
27,2011,38,1,4,0,1,1,3,0,12,53,8,1,0,9,0
28,2011,39,0,1,0,0,4,8,1,21,67,13,0,0,5,1
