,year,week,Civilian,Non-Civilian
0,2011,11,12,0
1,2011,12,182,2
2,2011,13,30,2
3,2011,14,16,2
4,2011,15,37,2
5,2011,16,221,9
6,2011,17,296,19
7,2011,18,97,8
8,2011,19,63,5
9,2011,20,180,11
10,2011,21,45,6
11,2011,22,242,11
12,2011,23,105,8
13,2011,24,14,1
14,2011,25,36,1
15,2011,26,44,5
16,2011,27,48,2
17,2011,28,62,7
18,2011,29,72,6
19,2011,30,302,10
20,2011,31,224,10
21,2011,32,178,19
22,2011,33,143,3
23,2011,34,64,9
24,2011,35,158,5
25,2011,36,96,15
26,2011,37,194,21
27,2011,38,72,21
28,2011,39,99,22
29,2011,40,104,13
30,2011,41,56,7
31,2011,42,142,15
32,2011,43,122,11
33,2011,44,172,18
34,2011,45,149,17
35,2011,46,228,25
36,2011,47,217,28
37,2011,48,245,17
38,2011,49,281,23
39,2011,50,238,42
40,2011,51,391,59
41,2011,52,275,27
42,2012,1,250,95
43,2012,2,168,23
44,2012,3,244,48
45,2012,4,391,47
46,2012,5,530,57
47,2012,6,511,111
48,2012,7,293,67
49,2012,8,451,29
50,2012,9,414,86
51,2012,10,417,69
52,2012,11,424,85
53,2012,12,466,72
54,2012,13,397,77
55,2012,14,606,70
56,2012,15,534,62
57,2012,16,412,133
58,2012,17,333,60
59,2012,18,242,66
60,2012,19,335,77
61,2012,20,285,60
62,2012,21,411,82
63,2012,22,334,107
64,2012,23,472,93
65,2012,24,481,89
66,2012,25,628,202
67,2012,26,733,145
68,2012,27,533,117
69,2012,28,606,212
70,2012,29,1361,291
71,2012,30,1222,272
72,2012,31,767,196
73,2012,32,1164,236
74,2012,33,1165,232
75,2012,34,1693,193
76,2012,35,1192,237
77,2012,36,941,215
78,2012,37,1295,167
79,2012,38,1219,208
80,2012,39,1363,201
81,2012,40,975,271
82,2012,41,1043,329
83,2012,42,1033,301
84,2012,43,763,208
85,2012,44,1141,389
86,2012,45,1031,337
87,2012,46,716,269
88,2012,47,641,318
89,2012,48,892,245
90,2012,49,683,292
91,2012,50,1005,407
92,2012,51,933,373
93,2012,52,942,370
94,2013,1,785,287
95,2013,2,644,187
96,2013,3,1276,341
97,2013,4,683,285
98,2013,5,686,319
99,2013,6,832,357
100,2013,7,613,441
101,2013,8,936,261
102,2013,9,720,314
103,2013,10,738,407
104,2013,11,711,347
105,2013,12,821,382
106,2013,13,792,377
107,2013,14,731,337
108,2013,15,618,419
109,2013,16,746,318
110,2013,17,749,418
111,2013,18,805,404
112,2013,19,380,299
113,2013,20,480,293
114,2013,21,435,421
115,2013,22,520,476
116,2013,23,536,361
117,2013,24,491,358
118,2013,25,682,318
119,2013,26,390,231
120,2013,27,354,248
121,2013,28,525,351
122,2013,29,660,526
123,2013,30,1019,510
124,2013,31,758,428
125,2013,32,877,644
126,2013,33,643,412
127,2013,34,2407,591
128,2013,35,675,418
129,2013,36,545,458
130,2013,37,330,330
131,2013,38,394,294
132,2013,39,430,335
133,2013,40,343,286
134,2013,41,588,227
135,2013,42,393,244
136,2013,43,463,299
137,2013,44,406,219
138,2013,45,302,312
139,2013,46,402,304
140,2013,47,559,261
141,2013,48,644,387
142,2013,49,530,168
143,2013,50,527,179
144,2013,51,994,266
145,2013,52,547,199
146,2014,1,301,224
147,2014,2,586,342
148,2014,3,448,248
149,2014,4,410,158
150,2014,5,704,223
151,2014,6,661,205
152,2014,7,619,208
153,2014,8,533,226
154,2014,9,338,233
155,2014,10,323,282
156,2014,11,309,190
157,2014,12,377,207
158,2014,13,275,205
159,2014,14,425,299
160,2014,15,339,378
161,2014,16,377,349
162,2014,17,359,206
163,2014,18,418,221
164,2014,19,354,286
165,2014,20,463,182
166,2014,21,247,182
167,2014,22,394,168
168,2014,23,345,222
169,2014,24,412,302
170,2014,25,412,121
171,2014,26,349,137
172,2014,27,244,122
173,2014,28,231,171
174,2014,29,283,198
175,2014,30,362,194
176,2014,31,369,125
177,2014,32,235,94
178,2014,33,407,83
179,2014,34,242,130
180,2014,35,395,144
181,2014,36,471,224
182,2014,37,360,163
183,2014,38,471,180
184,2014,39,188,121
185,2014,40,226,215
186,2014,41,199,204
187,2014,42,288,199
188,2014,43,343,116
189,2014,44,268,98
190,2014,45,238,117
191,2014,46,237,108
192,2014,47,259,139
193,2014,48,311,85
194,2014,49,276,155
195,2014,50,167,120
196,2014,51,301,136
197,2014,52,451,115
198,2015,1,41,47
199,2015,2,88,29
200,2015,3,136,31
201,2015,4,322,96
202,2015,5,190,109
203,2015,6,395,115
204,2015,7,166,83
205,2015,8,182,139
206,2015,9,167,134
207,2015,10,248,80
208,2015,11,391,78
209,2015,12,402,67
210,2015,13,360,235
211,2015,14,319,63
212,2015,15,219,100
213,2015,16,277,80
214,2015,17,245,162
215,2015,18,336,141
216,2015,19,169,143
217,2015,20,385,111
218,2015,21,265,114
219,2015,22,309,74
220,2015,23,271,58
221,2015,24,312,160
222,2015,25,200,161
223,2015,26,498,102
224,2015,27,261,123
225,2015,28,187,77
226,2015,29,210,72
227,2015,30,216,84
228,2015,31,209,130
229,2015,32,179,116
230,2015,33,552,192
231,2015,34,291,118
232,2015,35,191,65
233,2015,36,129,67
234,2015,37,67,100
235,2015,38,114,74
